Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
269,5;27,933;27,906;22,356;22,458
270;27,837;27,798;22,319;22,339
270,5;27,871;27,888;22,339;22,323
271;27,729;27,881;22,375;22,289
271,5;27,568;27,828;22,404;22,252
272;27,413;27,828;22,351;22,198
272,5;27,306;27,768;22,255;22,144
273;27,076;27,543;22,084;22,009
273,5;26,841;27,212;21,81;21,802
274;26,437;26,767;21,451;21,489
274,5;26,096;26,37;21,118;21,145
275;25,761;26,015;20,793;20,822
275,5;25,468;25,758;20,552;20,544
276;25,112;25,505;20,384;20,268
276,5;24,776;25,249;20,173;20,026
277;24,515;25,114;20,044;19,88
277,5;24,318;24,983;19,924;19,774
278;24,143;24,746;19,796;19,669
278,5;24,03;24,508;19,658;19,51
279;23,798;24,27;19,492;19,351
279,5;23,667;24,13;19,348;19,205
280;23,516;23,947;19,211;19,059
280,5;23,361;23,785;19,077;18,873
281;23,177;23,651;18,945;18,676
281,5;23,003;23,524;18,82;18,537
282;22,867;23,433;18,695;18,419
282,5;22,594;23,219;18,48;18,293
283;22,428;22,885;18,287;18,132
283,5;22,275;22,558;18,125;17,982
284;22,042;22,258;17,885;17,791
284,5;21,735;21,974;17,651;17,579
285;21,456;21,736;17,435;17,373
285,5;21,234;21,523;17,274;17,139
286;20,984;21,293;17,125;16,971
286,5;20,871;21,2;17,027;16,899
287;20,642;20,968;16,84;16,752
287,5;20,373;20,701;16,675;16,593
288;20,175;20,386;16,467;16,387
288,5;20,002;20,125;16,296;16,207
289;19,721;19,907;16,054;16,004
289,5;19,404;19,673;15,862;15,792
290;19,237;19,553;15,747;15,646
290,5;19,098;19,407;15,651;15,514
291;18,987;19,31;15,564;15,426
291,5;18,896;19,208;15,475;15,35
292;18,694;19,052;15,305;15,207
292,5;18,595;18,874;15,166;15,049
293;18,401;18,682;14,973;14,875
293,5;18,222;18,563;14,82;14,705
294;17,972;18,458;14,709;14,578
294,5;17,779;18,285;14,638;14,44
295;17,611;18,183;14,557;14,326
295,5;17,444;18,108;14,484;14,212
296;17,326;18,015;14,407;14,086
296,5;17,155;17,799;14,26;13,955
297;16,992;17,615;14,045;13,793
297,5;16,853;17,389;13,842;13,651
298;16,542;17,116;13,586;13,471
298,5;16,283;16,848;13,36;13,259
299;16,046;16,58;13,182;13,126
299,5;15,797;16,208;12,964;12,991
300;15,563;16,013;12,798;12,873
300,5;15,408;15,846;12,682;12,751
301;15,285;15,618;12,561;12,591
301,5;15,148;15,424;12,447;12,428
302;15,005;15,215;12,267;12,257
302,5;14,821;15,049;12,098;12,1
303;14,472;14,776;11,851;11,84
303,5;14,212;14,492;11,63;11,588
304;13,966;14,276;11,399;11,454
304,5;13,731;13,998;11,167;11,332
305;13,57;13,834;11,02;11,245
305,5;13,45;13,653;10,886;11,1
306;13,313;13,441;10,785;10,957
306,5;13,146;13,235;10,642;10,776
307;13,019;12,977;10,471;10,598
307,5;12,889;12,848;10,335;10,447
308;12,673;12,683;10,16;10,278
308,5;12,568;12,569;10,055;10,176
309;12,483;12,531;9,969;10,162
309,5;12,438;12,414;9,909;10,129
310;12,36;12,346;9,872;10,054
310,5;12,269;12,359;9,855;9,993
311;12,161;12,296;9,821;9,933
311,5;11,973;12,168;9,672;9,795
312;11,814;11,946;9,543;9,662
312,5;11,686;11,788;9,428;9,56
313;11,547;11,657;9,312;9,486
313,5;11,478;11,561;9,266;9,443
314;11,427;11,532;9,227;9,446
314,5;11,432;11,503;9,215;9,401
315;11,322;11,46;9,179;9,32
315,5;11,181;11,406;9,135;9,234
316;11,085;11,279;9,026;9,088
316,5;10,932;11,054;8,844;8,899
317;10,81;10,802;8,734;8,742
317,5;10,707;10,632;8,614;8,628
318;10,558;10,494;8,494;8,533
318,5;10,471;10,42;8,421;8,489
319;10,496;10,535;8,447;8,605
319,5;10,521;10,579;8,454;8,644
320;10,399;10,488;8,397;8,618
320,5;10,278;10,362;8,311;8,577
321;10,228;10,2;8,174;8,429
321,5;10,135;9,919;8,031;8,267
322;10,102;9,738;7,919;8,118
322,5;9,985;9,633;7,825;7,986
323;9,844;9,563;7,8;7,895
323,5;9,838;9,616;7,805;7,847
324;9,852;9,755;7,909;7,929
324,5;9,82;9,754;7,901;7,856
325;9,744;9,728;7,83;7,814
325,5;9,7;9,753;7,81;7,845
326;9,588;9,64;7,733;7,768
326,5;9,409;9,461;7,656;7,665
327;9,286;9,338;7,571;7,599
