Wavelenght,S1,S2
335,16.824,18.938
335.5,16.856,18.879
336,16.901,18.835
336.5,16.897,18.715
337,16.849,18.612
337.5,16.792,18.563
338,16.759,18.436
338.5,16.732,18.332
339,16.628,18.258
339.5,16.449,18.237
340,16.352,18.195
340.5,16.298,18.142
341,16.24,18.089
341.5,16.177,17.983
342,16.074,17.853
342.5,15.96,17.747
343,15.875,17.611
343.5,15.717,17.523
344,15.666,17.482
344.5,15.498,17.44
345,15.44,17.443
345.5,15.394,17.459
346,15.325,17.403
346.5,15.274,17.367
347,15.261,17.258
347.5,15.281,17.157
348,15.302,17.087
348.5,15.278,16.998
349,15.364,16.939
349.5,15.308,16.893
350,15.284,16.867
350.5,15.176,16.846
351,14.991,16.776
351.5,14.88,16.735
352,14.737,16.652
352.5,14.62,16.576
353,14.534,16.495
353.5,14.384,16.415
354,14.352,16.372
354.5,14.309,16.301
355,14.308,16.232
355.5,14.222,16.182
356,14.236,16.082
356.5,14.235,16.02
357,14.198,15.942
357.5,14.196,15.881
358,14.17,15.895
358.5,14.073,15.941
359,14.105,15.971
359.5,14.047,15.953
360,13.984,15.931
360.5,13.888,15.884
361,13.813,15.829
361.5,13.745,15.739
362,13.773,15.605
362.5,13.775,15.502
363,13.755,15.446
363.5,13.757,15.44
364,13.843,15.404
364.5,13.768,15.405
365,13.718,15.391
365.5,13.606,15.322
366,13.472,15.286
366.5,13.485,15.113
367,13.468,14.997
367.5,13.319,14.94
368,13.261,14.876
368.5,13.253,14.836
369,13.312,14.839
369.5,13.287,14.927
370,13.219,14.904
370.5,13.164,14.823
371,13.137,14.807
371.5,13.167,14.664
372,13.105,14.555
372.5,12.948,14.524
373,12.853,14.433
373.5,12.79,14.389
374,12.718,14.389
374.5,12.677,14.387
375,12.619,14.314
375.5,12.582,14.267
376,12.605,14.235
376.5,12.665,14.193
377,12.682,14.175
377.5,12.636,14.216
378,12.546,14.246
378.5,12.493,14.293
379,12.414,14.272
379.5,12.427,14.209
380,12.352,14.055
380.5,12.255,13.937
381,12.255,13.831
381.5,12.26,13.739
382,12.214,13.686
382.5,12.219,13.64
383,12.2,13.64
383.5,12.192,13.651
384,12.136,13.66
384.5,12.099,13.685
385,12.002,13.658
385.5,11.949,13.645
386,11.978,13.608
386.5,11.956,13.543
387,11.896,13.437
387.5,11.913,13.341
388,11.896,13.253
388.5,11.84,13.221
389,11.799,13.212
389.5,11.775,13.239
390,11.773,13.257
390.5,11.781,13.271
391,11.748,13.274
391.5,11.628,13.242
392,11.566,13.158
392.5,11.51,13.061
393,11.42,12.949
393.5,11.383,12.915
394,11.41,12.92
394.5,11.473,12.915
395,11.513,12.944
395.5,11.484,12.947
396,11.406,12.961
396.5,11.404,12.891
397,11.379,12.8
397.5,11.279,12.719
398,11.202,12.67
398.5,11.171,12.678
399,11.14,12.723
399.5,11.155,12.753
400,11.097,12.811
400.5,11.05,12.81
401,11.068,12.773
401.5,11.142,12.659
402,11.141,12.521
402.5,11.079,12.447
403,11.077,12.373
403.5,11.043,12.362
404,10.988,12.389
404.5,10.944,12.435
405,10.877,12.506
405.5,10.831,12.535
406,10.816,12.537
406.5,10.811,12.535
407,10.758,12.466
407.5,10.72,12.379
408,10.748,12.29
408.5,10.745,12.256
409,10.726,12.193
409.5,10.713,12.156
410,10.738,12.125
410.5,10.68,12.128
411,10.594,12.088
411.5,10.524,12.025
412,10.479,11.929
412.5,10.45,11.845
413,10.47,11.803
413.5,10.488,11.801
414,10.479,11.765
414.5,10.554,11.771
415,10.583,11.771
415.5,10.481,11.771
416,10.485,11.688
416.5,10.444,11.63
417,10.455,11.593
417.5,10.413,11.612
418,10.421,11.644
418.5,10.436,11.673
419,10.443,11.706
419.5,10.464,11.685
420,10.376,11.677
420.5,10.295,11.662
421,10.315,11.651
421.5,10.251,11.677
422,10.203,11.685
422.5,10.162,11.732
423,10.135,11.758
423.5,10.093,11.747
424,10.071,11.744
424.5,10.075,11.706
425,10.048,11.691
425.5,10.048,11.675
426,10.074,11.682
426.5,10.076,11.629
427,10.053,11.6
427.5,10.071,11.537
428,10.055,11.469
428.5,9.956,11.42
429,9.948,11.373
429.5,9.918,11.34
430,9.91,11.272
430.5,9.863,11.238
431,9.82,11.203
431.5,9.799,11.116
432,9.815,11.1
432.5,9.863,11.061
433,9.88,11.04
433.5,9.881,11.068
434,9.906,11.095
434.5,9.913,11.109
435,9.942,11.101
435.5,9.906,11.137
436,9.781,11.166
436.5,9.773,11.165
437,9.732,11.201
437.5,9.685,11.24
438,9.667,11.231
438.5,9.628,11.229
439,9.576,11.215
439.5,9.583,11.199
440,9.563,11.169
440.5,9.547,11.123
441,9.488,11.082
441.5,9.429,11.053
442,9.394,11.064
442.5,9.365,11.078
443,9.345,11.079
443.5,9.364,11.062
444,9.36,10.998
444.5,9.382,10.953
445,9.365,10.879
445.5,9.443,10.779
446,9.429,10.733
446.5,9.347,10.705
447,9.343,10.72
447.5,9.327,10.744
448,9.29,10.796
448.5,9.307,10.85
449,9.297,10.841
449.5,9.26,10.842
450,9.213,10.815
450.5,9.243,10.799
451,9.195,10.783
451.5,9.146,10.703
452,9.167,10.655
452.5,9.181,10.652
453,9.212,10.612
453.5,9.26,10.62
454,9.316,10.635
454.5,9.284,10.658
455,9.286,10.64
455.5,9.294,10.636
456,9.232,10.652
456.5,9.213,10.624
457,9.2,10.606
457.5,9.198,10.628
458,9.187,10.62
458.5,9.172,10.639
459,9.136,10.692
459.5,9.074,10.68
460,9.054,10.609
460.5,9.041,10.567
461,8.981,10.535
461.5,8.991,10.488
462,9.015,10.444
462.5,9.008,10.43
463,8.965,10.397
463.5,8.957,10.386
464,8.906,10.409
464.5,8.869,10.391
465,8.923,10.355
465.5,8.954,10.305
466,8.905,10.295
466.5,8.908,10.319
467,8.886,10.383
467.5,8.822,10.431
468,8.777,10.468
468.5,8.775,10.526
469,8.761,10.521
469.5,8.773,10.468
470,8.829,10.396
470.5,8.817,10.297
471,8.753,10.208
471.5,8.72,10.108
472,8.689,10.063
472.5,8.646,10.026
473,8.601,10.022
473.5,8.577,10.025
474,8.579,9.966
474.5,8.612,9.933
475,8.645,9.934
475.5,8.646,9.94
476,8.61,9.931
476.5,8.598,9.934
477,8.628,9.934
477.5,8.599,9.956
478,8.542,9.973
478.5,8.51,9.994
479,8.525,9.968
479.5,8.581,9.928
480,8.554,9.902
480.5,8.521,9.894
481,8.528,9.886
481.5,8.538,9.915
482,8.603,9.938
482.5,8.637,10.001
483,8.626,10.049
483.5,8.65,10.047
484,8.678,10.016
484.5,8.733,9.935
485,8.682,9.853
485.5,8.655,9.805
486,8.67,9.781
486.5,8.689,9.774
487,8.696,9.777
487.5,8.639,9.83
488,8.562,9.875
488.5,8.479,9.897
489,8.459,9.923
489.5,8.444,9.918
490,8.395,9.873
490.5,8.324,9.844
491,8.298,9.804
491.5,8.311,9.779
492,8.26,9.764
492.5,8.173,9.759
493,8.134,9.738
493.5,8.138,9.693
494,8.223,9.656
494.5,8.242,9.651
495,8.281,9.631
495.5,8.295,9.613
496,8.31,9.6
496.5,8.292,9.629
497,8.206,9.647
497.5,8.117,9.627
498,8.121,9.594
498.5,8.192,9.488
499,8.227,9.425
499.5,8.206,9.42
500,8.178,9.42
500.5,8.106,9.447
501,8.076,9.47
501.5,8.026,9.532
502,7.933,9.537
502.5,7.888,9.558
503,7.868,9.586
503.5,7.856,9.55
504,7.897,9.496
504.5,7.954,9.499
505,8.013,9.505
505.5,8.027,9.48
506,8.118,9.441
506.5,8.161,9.434
507,8.205,9.34
507.5,8.153,9.329
508,8.119,9.326
508.5,8.015,9.317
509,7.982,9.34
509.5,7.971,9.413
510,7.992,9.459
510.5,7.968,9.479
511,7.935,9.5
511.5,7.925,9.533
512,7.911,9.536
512.5,7.838,9.542
513,7.834,9.508
513.5,7.802,9.457
514,7.714,9.462
514.5,7.702,9.464
515,7.657,9.427
515.5,7.605,9.393
516,7.61,9.313
516.5,7.636,9.274
517,7.604,9.216
517.5,7.695,9.125
518,7.745,9.006
518.5,7.775,9.014
519,7.741,9.027
519.5,7.77,9.065
520,7.691,9.108
520.5,7.639,9.12
521,7.622,9.138
521.5,7.596,9.142
522,7.577,9.134
522.5,7.637,9.109
523,7.692,9.078
523.5,7.747,9.137
524,7.742,9.119
524.5,7.686,9.114
525,7.605,9.067
525.5,7.509,9.042
526,7.437,9.031
526.5,7.458,8.99
527,7.459,8.954
527.5,7.498,8.924
528,7.578,8.89
528.5,7.607,8.895
529,7.577,8.844
529.5,7.517,8.771
530,7.529,8.74
530.5,7.477,8.75
531,7.483,8.799
531.5,7.494,8.821
532,7.5,8.821
532.5,7.537,8.882
533,7.629,8.901
533.5,7.562,8.885
534,7.503,8.792
534.5,7.417,8.705
535,7.336,8.678
535.5,7.288,8.708
536,7.271,8.694
536.5,7.202,8.691
537,7.169,8.74
537.5,7.214,8.812
538,7.294,8.859
538.5,7.289,8.794
539,7.348,8.708
539.5,7.337,8.662
540,7.284,8.65
540.5,7.307,8.684
541,7.358,8.585
541.5,7.255,8.562
542,7.146,8.611
542.5,7.066,8.616
543,6.982,8.635
543.5,6.961,8.637
544,6.986,8.626
544.5,6.995,8.641
545,6.976,8.665
545.5,7.035,8.673
546,7.098,8.609
546.5,7.105,8.57
547,7.124,8.55
547.5,7.158,8.517
548,7.166,8.538
548.5,7.186,8.61
549,7.198,8.618
549.5,7.167,8.591
550,7.117,8.532
550.5,7.101,8.522
551,7.025,8.477
551.5,7.001,8.413
552,6.981,8.41
552.5,6.994,8.412
553,6.985,8.43
553.5,7.048,8.418
554,7.077,8.362
554.5,7.081,8.344
555,7.087,8.298
555.5,7.06,8.27
556,7.074,8.214
556.5,7.043,8.252
557,6.934,8.383
557.5,6.858,8.478
558,6.774,8.565
558.5,6.801,8.61
559,6.849,8.709
559.5,6.915,8.774
560,7.018,8.71
560.5,7.062,8.595
561,7.111,8.436
561.5,7.117,8.338
562,7.032,8.259
562.5,6.922,8.149
563,6.827,8.07
563.5,6.798,8.036
564,6.784,8.103
564.5,6.791,8.14
565,6.817,8.167
565.5,6.841,8.21
566,6.882,8.186
566.5,6.932,8.169
567,6.896,8.168
567.5,6.871,8.126
568,6.853,8.085
568.5,6.839,8.037
569,6.826,8.083
569.5,6.765,8.17
570,6.711,8.222
570.5,6.732,8.207
571,6.795,8.135
571.5,6.79,8.103
572,6.797,8.068
572.5,6.809,8.045
573,6.785,8.023
573.5,6.85,7.919
574,6.884,7.895
574.5,6.94,7.864
575,6.982,7.847
575.5,7.001,7.888
576,7.052,7.927
576.5,7.049,7.988
577,7.043,8.028
577.5,6.949,8.114
578,6.806,8.19
578.5,6.694,8.138
579,6.554,8.04
579.5,6.495,7.933
580,6.481,7.89
580.5,6.473,7.883
581,6.571,7.813
581.5,6.645,7.721
582,6.73,7.631
582.5,6.748,7.663
583,6.737,7.711
583.5,6.685,7.731
584,6.59,7.764
584.5,6.574,7.833
585,6.519,7.904
585.5,6.504,7.955
586,6.478,7.907
586.5,6.445,7.795
587,6.431,7.662
587.5,6.459,7.63
588,6.484,7.623
588.5,6.523,7.613
589,6.568,7.616
589.5,6.605,7.703
590,6.581,7.81
590.5,6.571,7.879
591,6.548,7.888
591.5,6.534,7.842
592,6.551,7.749
592.5,6.632,7.658
593,6.65,7.496
593.5,6.728,7.364
594,6.738,7.302
594.5,6.661,7.303
595,6.608,7.393
595.5,6.515,7.546
596,6.429,7.751
596.5,6.335,7.939
597,6.3,8.038
597.5,6.297,8.059
598,6.266,7.99
598.5,6.351,7.884
599,6.408,7.801
599.5,6.346,7.721
600,6.371,7.673
600.5,6.301,7.632
601,6.267,7.606
601.5,6.215,7.584
602,6.251,7.521
602.5,6.255,7.476
603,6.296,7.4
603.5,6.352,7.358
604,6.411,7.381
604.5,6.452,7.482
605,6.487,7.619
605.5,6.375,7.718
606,6.294,7.82
606.5,6.224,7.842
607,6.226,7.809
607.5,6.252,7.743
608,6.294,7.647
608.5,6.278,7.615
609,6.241,7.625
609.5,6.224,7.666
610,6.207,7.737
610.5,6.072,7.83
611,5.998,7.798
611.5,5.953,7.714
612,6.025,7.636
612.5,6.13,7.521
613,6.193,7.429
613.5,6.223,7.398
614,6.145,7.469
614.5,6.131,7.499
615,6.057,7.567
615.5,5.987,7.603
616,5.932,7.583
616.5,5.916,7.588
617,5.988,7.652
617.5,6.045,7.644
618,5.977,7.684
618.5,5.919,7.707
619,5.846,7.744
619.5,5.864,7.686
620,5.809,7.645
620.5,5.847,7.623
621,5.869,7.56
621.5,5.949,7.532
622,6.097,7.544
622.5,6.198,7.544
623,6.146,7.533
623.5,6.216,7.483
624,6.259,7.428
624.5,6.25,7.38
625,6.2,7.346
625.5,6.12,7.336
626,6.103,7.3
626.5,6.018,7.298
627,5.957,7.327
627.5,5.876,7.341
628,5.751,7.4
628.5,5.834,7.408
629,5.93,7.433
629.5,5.906,7.448
630,5.87,7.49
630.5,5.941,7.515
631,5.97,7.527
631.5,5.907,7.524
632,5.836,7.537
632.5,5.781,7.571
633,5.751,7.555
633.5,5.889,7.439
634,5.972,7.374
634.5,5.947,7.316
635,5.948,7.329
635.5,6.022,7.291
636,5.98,7.284
636.5,6.019,7.275
637,6.062,7.358
637.5,6.04,7.451
638,6.09,7.462
638.5,6.099,7.391
639,6.086,7.437
639.5,6.057,7.461
640,5.986,7.486
640.5,5.889,7.527
641,5.753,7.55
641.5,5.694,7.51
642,5.674,7.462
642.5,5.68,7.338
643,5.738,7.184
643.5,5.745,7.005
644,5.764,6.916
644.5,5.823,6.821
645,5.836,6.87
645.5,5.821,6.953
646,5.758,7.047
646.5,5.722,7.142
647,5.665,7.207
647.5,5.637,7.23
648,5.632,7.264
648.5,5.631,7.341
649,5.679,7.327
649.5,5.705,7.344
650,5.784,7.405
650.5,5.9,7.407
651,5.944,7.422
651.5,6.011,7.387
652,6.062,7.303
652.5,6.058,7.283
653,6.02,7.299
653.5,5.972,7.304
654,5.904,7.231
654.5,5.802,7.191
655,5.733,7.173
655.5,5.683,7.139
656,5.683,7.088
656.5,5.78,7.02
657,5.968,6.887
657.5,6.065,6.855
658,6.082,6.909
658.5,6.02,6.907
659,6.006,6.911
659.5,5.933,6.911
660,5.79,6.92
660.5,5.685,6.939
661,5.701,6.998
661.5,5.73,7.018
662,5.827,7.03
662.5,5.857,7.081
663,5.845,7.173
663.5,5.835,7.204
664,5.882,7.221
664.5,5.811,7.168
665,5.706,7.031
665.5,5.66,6.882
666,5.662,6.727
666.5,5.672,6.635
667,5.745,6.606
667.5,5.816,6.555
668,5.763,6.528
668.5,5.888,6.54
669,5.871,6.584
669.5,5.896,6.605
670,5.795,6.65
670.5,5.627,6.638
671,5.548,6.653
671.5,5.401,6.809
672,5.408,6.893
672.5,5.339,6.85
673,5.248,6.89
673.5,5.445,6.922
674,5.542,6.87
674.5,5.671,6.819
675,5.654,6.856
675.5,5.645,6.811
676,5.68,6.848
676.5,5.644,6.858
677,5.648,6.805
677.5,5.591,6.688
678,5.522,6.668
678.5,5.577,6.582
679,5.585,6.586
679.5,5.508,6.597
680,5.52,6.732
680.5,5.497,6.855
681,5.57,6.999
681.5,5.568,7.028
682,5.562,6.987
682.5,5.54,6.98
683,5.436,6.966
683.5,5.421,6.895
684,5.383,6.877
684.5,5.369,6.836
685,5.467,6.773
685.5,5.472,6.752
686,5.507,6.724
686.5,5.525,6.58
687,5.509,6.452
687.5,5.507,6.382
688,5.54,6.353
688.5,5.607,6.371
689,5.62,6.424
689.5,5.638,6.523
690,5.57,6.625
690.5,5.514,6.752
691,5.46,6.835
691.5,5.365,6.884
692,5.297,6.909
692.5,5.34,6.927
693,5.443,6.878
693.5,5.524,6.808
694,5.491,6.806
694.5,5.439,6.857
695,5.408,6.846
695.5,5.441,6.792
